No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse
180,1-Chloro-2-(trifluoromethyl)benzene,8.0,52181-51-8,C1=CC=C(C(=C1)C(F)(F)F)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138039,halogeneted,Halogenated organics
181,1-Chloro-2-methylbenzene,9.230448921,,Cc1ccccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
182,1-Chloro-2-methylbenzene,9.2304,95-49-8,CC1=CC=CC=C1Cl,,,https://doi.org/10.1016/j.jhazmat.2025.137981,cyclo,Aromatic & PAHs
183,1-Chloro-3-fluoro-2-methylbenzene,9.079181246,2379321-88-5,Cc1c(F)cccc1Cl,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
184,1-Chloro-3-fluoro-2-methylbenzene,9.0792,443-83-4,CC1=C(C=CC=C1Cl)F,,,https://doi.org/10.1016/j.jhazmat.2025.137998,alkane,Aliphatic hydrocarbons
185,1-Chloro-3-fluorobenzene,9.0,625-98-9,C1=CC(=CC(=C1)Cl)F,,,https://doi.org/10.1016/j.jhazmat.2025.138005,halogeneted,Halogenated organics
186,1-Chloro-3-fluorobenzene,9.0,208186-78-1,Fc1cccc(Cl)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
187,1-Chloro-3-methylbenzene,8.9542,108-41-8,CC1=CC(=CC=C1)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138010,alkane,Aliphatic hydrocarbons
188,1-Chloro-3-methylbenzene,8.954242509,344612-25-5,Cc1cccc(Cl)c1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
189,1-Chloro-4-methylbenzene,9.0414,106-43-4,CC1=CC=C(C=C1)Cl,,,https://doi.org/10.1016/j.jhazmat.2025.138000,alkane,Aliphatic hydrocarbons
190,1-Chloro-4-methylbenzene,9.041392685,357292-37-6,Cc1ccc(Cl)cc1,,,https://doi.org/10.1021/acs.est.1c04326,benzene,Aromatic & PAHs
191,1-Chloronaphthalene,9.1139,25586-43-0,C1=CC=C2C(=C1)C=CC=C2Cl,,,https://doi.org/10.1016/j.jhazmat.2025.137996,cyclo,Aromatic & PAHs
192,1-Chloronaphthalene,9.113943352, 90-13-1,C1=CC=C2C(=C1)C=CC=C2Cl,3.5,,NIST,cyclo,Aromatic & PAHs
193,1-Chloronaphthalene,9.113943352,1261661-94-2,Clc1cccc2ccccc12,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
194,1-Ethylnaphthalene,9.3222,1127-76-0,CCC1=CC=CC2=CC=CC=C21,,,https://doi.org/10.1016/j.jhazmat.2025.137963,cyclo,Aromatic & PAHs
195,1-Ethylnaphthalene,9.322219295,,CCc1cccc2ccccc12,,,https://doi.org/10.1021/acs.est.1c04326,cyclo,Aromatic & PAHs
